Task,Vector size,wandb_id,Folder,sweep_id,wl_step,min_count,sample,Window size,alpha,Train MSE,Train R2,Test MSE,Test R2
Density,128,nc8snk1o,run-20230322_213119-lveejtnm,87,2,4,1,100,1.85E-02,0.0554459691047668,0.8665,0.138974145054817,0.6819
Density,128,nc8snk1o,run-20230323_104254-l71pzrps,541,2,4,1,10,1.58E-02,0.0544094666838646,0.8690,0.139031574130058,0.6818
Density,128,nc8snk1o,run-20230323_074522-h3xfyo92,421,2,4,1,10,1.64E-02,0.0532071068882942,0.8719,0.139895543456078,0.6798
Density,128,nc8snk1o,run-20230323_111054-z2ffk3n1,554,2,4,1,10,1.51E-02,0.0551937371492386,0.8671,0.139909714460373,0.6798
Density,128,nc8snk1o,run-20230323_074208-c153y1dp,416,2,0,1,10,1.80E-02,0.0539887845516205,0.8700,0.140891388058662,0.6775
Density,256,navjxwp8,run-20230323_164256-02fps363,385,2,4,1,10,1.83E-02,0.0471951588988304,0.8864,0.128300666809082,0.7063
Density,256,navjxwp8,run-20230323_213558-fpk023as,468,2,4,1,10,1.85E-02,0.047656737267971,0.8853,0.130059272050858,0.7023
Density,256,navjxwp8,run-20230324_092539-x3ftd9k4,638,2,4,1,10,1.79E-02,0.0479609258472919,0.8845,0.13395282626152,0.6934
Density,256,navjxwp8,run-20230323_132156-yt68fbco,329,2,2,1,10,1.55E-02,0.0486676432192326,0.8828,0.135144740343094,0.6907
Density,256,navjxwp8,run-20230323_210404-cb2bs0ql,459,2,2,1,10,1.45E-02,0.0496933534741402,0.8804,0.135190472006798,0.6906
Density,512,imyrl7ud,run-20230324_234152-6rm592wh,542,2,0,1,10,0.0184158198340463,0.043905820697546,0.8943,0.132702171802521,0.6962
Density,512,imyrl7ud,run-20230323_151712-7fflyryf,222,2,4,1,10,0.0186463547021078,0.0427857488393784,0.8970,0.1328534334898,0.6959
Density,512,imyrl7ud,run-20230324_075622-t831kxa2,395,2,2,1,10,0.0173021134301204,0.0453434363007546,0.8908,0.132930591702461,0.6957
Density,512,imyrl7ud,run-20230324_062929-4yl905tt,372,2,4,1,100,0.0195719677463505,0.0452863201498985,0.8910,0.13447593152523,0.6922
Density,512,imyrl7ud,run-20230324_214518-cncnxptl,519,2,4,1,100,0.0186059239971108,0.0449774712324142,0.8917,0.135375916957855,0.6901
Density,1024,yrz9bxsm,run-20230325_072829-i7zl5ntn,245,2,2,1,10,0.0188725504079156,0.0408493876457214,0.9017,0.131103217601776,0.6999
Density,1024,yrz9bxsm,run-20230323_180025-pu5nw3x7,122,2,4,1,100,0.0177757148195123,0.0393958128988743,0.9052,0.132131725549698,0.6976
Density,1024,yrz9bxsm,run-20230323_203752-3jk5wurp,134,2,2,1,10,0.0180101110336534,0.0406265184283257,0.9022,0.132911205291748,0.6958
Density,1024,yrz9bxsm,run-20230323_045221-8tjhx34p,73,2,4,1,100,0.0192933472759607,0.0420443341135979,0.8988,0.133906587958336,0.6935
Density,1024,yrz9bxsm,run-20230323_181619-51t2ffh6,124,2,2,1,10,0.0182125972643832,0.0414745099842548,0.9002,0.134729415178299,0.6916
Density,2048,q3d6qgcd,run-20230323_114954-eju011qe,74,2,4,1,10,0.015449554635816,0.0390401929616928,0.9060,0.132001921534538,0.6979
Density,2048,q3d6qgcd,run-20230323_121202-4pimcpfd,81,2,4,1,100,0.0178831532447258,0.0390191599726677,0.9061,0.13321228325367,0.6951
Density,2048,q3d6qgcd,run-20230323_113410-igbljulu,70,2,4,1,100,0.0183054017389573,0.038364190608263,0.9076,0.133578523993492,0.6942
Density,2048,q3d6qgcd,run-20230324_150622-3iwklwlc,156,2,4,1,10,0.0173885800073809,0.0375956445932388,0.9095,0.135559380054474,0.6897
Density,2048,q3d6qgcd,run-20230325_081048-rqhh4ie5,227,2,0,1,100,0.0169128801639736,0.0393053218722343,0.9054,0.135686814785004,0.6894
Band gap,128,oqobw037,run-20230323_100038-agi2z80z,269,2,4,1,10,0.0195292532256319,0.289220631122589,0.7741,0.652171790599823,0.4897
Band gap,128,oqobw037,run-20230323_033611-5i36ynmq,178,2,4,1,100,0.0192485312060457,0.279232800006866,0.7819,0.653641581535339,0.4886
Band gap,128,oqobw037,run-20230323_015915-wq0rsnef,135,2,2,1,100,0.0199228537230544,0.275037318468094,0.7852,0.657468318939209,0.4856
Band gap,128,oqobw037,run-20230323_045826-xalb8jv0,190,2,4,1,10,0.0195427303133182,0.286403834819794,0.7763,0.660565435886383,0.4831
Band gap,128,oqobw037,run-20230323_233242-zgjc9sne,484,2,0,1,100,0.0176603595753767,0.296052604913712,0.7688,0.660884261131287,0.4829
Band gap,256,nqph1ft4,run-20230323_213354-7je3rklo,251,2,4,1,100,0.0198107432279715,0.252960830926895,0.8024,0.626115620136261,0.5101
Band gap,256,nqph1ft4,run-20230325_115838-z32cjbq7,603,2,4,1,100,0.0199969027724052,0.253597766160965,0.8019,0.627198219299316,0.5093
Band gap,256,nqph1ft4,run-20230324_150241-zj5m2z4g,430,2,4,1,100,0.0191833487118145,0.263018250465393,0.7946,0.641891598701477,0.4978
Band gap,256,nqph1ft4,run-20230325_030554-lfjcpow4,538,2,4,1,100,0.0190660325107055,0.259165525436401,0.7976,0.64189875125885,0.4978
Band gap,256,nqph1ft4,run-20230323_211058-t81mjcr4,240,2,4,1,100,0.0191480870173675,0.256918221712112,0.7993,0.646910011768341,0.4938
Band gap,512,s06gqgiv,run-20230324_061529-h8wptmct,179,2,4,1,100,0.0196450939886635,0.242567345499992,0.8105,0.632957756519318,0.5047
Band gap,512,s06gqgiv,run-20230324_001651-bbh973p1,155,2,2,1,100,0.0190092390552763,0.231549248099327,0.8191,0.635117590427399,0.5031
Band gap,512,s06gqgiv,run-20230325_051954-zsbq5697,295,2,2,1,100,0.0197335403350014,0.232246309518814,0.8186,0.643452405929565,0.4965
Band gap,512,s06gqgiv,run-20230323_211505-xurxgt90,139,2,2,1,100,0.0194097659703402,0.229066267609596,0.8211,0.643535852432251,0.4965
Band gap,512,s06gqgiv,run-20230325_183354-4n9gc5g1,353,2,2,1,100,0.0192007781561695,0.225248217582703,0.8241,0.647934675216675,0.4930
Band gap,1024,9w6a8wti,run-20230325_072840-mq2u5juz,133,2,4,1,100,0.0184794868444429,0.218779280781746,0.8291,0.636563181877136,0.5019
Band gap,1024,9w6a8wti,run-20230325_134211-1no3u1it,146,2,2,1,100,0.0197976274954703,0.214840963482857,0.8322,0.64138001203537,0.4982
Band gap,1024,9w6a8wti,run-20230325_144901-r41zy87p,158,2,4,1,10,0.0187859940143372,0.221630349755287,0.8269,0.649384200572968,0.4919
Band gap,1024,9w6a8wti,run-20230325_155157-u8ez7idi,162,2,4,1,100,0.0190803661399814,0.220607742667198,0.8277,0.64981472492218,0.4916
Band gap,1024,9w6a8wti,run-20230326_171206-rdyswify,257,2,2,1,100,0.0187714296817422,0.284905135631561,0.7775,0.652320265769959,0.4896
Band gap,2048,0h99j46c,run-20230323_031918-y8vd1gpc,54,2,4,1,100,0.0190749256164472,0.203779563307762,0.8408,0.635046720504761,0.5031
Band gap,2048,0h99j46c,run-20230324_070728-wl8oq89e,121,2,0,1,100,0.0191079545626982,0.205767318606377,0.8393,0.648522317409515,0.4926
Band gap,2048,0h99j46c,run-20230327_000234-823yy3f8,398,2,0,1,100,0.0189431421437775,0.289941072463989,0.7736,0.651005566120148,0.4906
Band gap,2048,0h99j46c,run-20230324_121951-y74uinki,133,2,4,1,100,0.018811486604593,0.208218574523926,0.8374,0.659877836704254,0.4837
Band gap,2048,0h99j46c,run-20230327_033125-l39qjvhh,464,2,0,1,10,0.0199023722404129,0.287169754505157,0.7757,0.662649393081665,0.4815